Name,Year,Company,Transmission,KM_Driven,Fuel_Type,Owner,Registration,City,Original_Price,Sales_Price,Month,EMI(₹)
Jeep Compass 2.0 LONGITUDE (O),2018,Jeep,MANUAL,79397,Diesel,1st Owner,UP-70,New Delhi,1165199,1091199,Nov,20492
Honda Amaze 1.2 V CVT I VTEC,2018,Honda,AUTOMATIC,10392,Petrol,1st Owner,KA-01-x-xxxx,Bangalore,821899,816899,Sep,15341
Toyota Corolla Altis G AT,2017,Toyota,AUTOMATIC,75764,Petrol,1st Owner,DL-10,New Delhi,1389899,1323999,Sep,24863
Toyota YARIS VX CVT,2018,Toyota,AUTOMATIC,29417,Petrol,2nd Owner,KA-22-x-xxxx,Bangalore,991199,985499,May,18507
Renault Kiger RXZ CVT 1.0 TURBO DUAL TONE,2022,Renault,MANUAL,4328,Petrol,1st Owner,WB-12,Kolkata,1162999,1047799,May,19677
Maruti Eeco 5 STR CNG WITH AC PLUSHTR,2021,Maruti,MANUAL,16294,Petrol + CNG,1st Owner,TN-09-x-xxxx,Chennai,578199,573199,Oct,11206
Maruti Celerio ZXI AMT,2016,Maruti,AUTOMATIC,36894,Petrol,1st Owner,TN-12-x-xxxx,Chennai,455399,455399,Nov,8903
Honda Brio 1.2 S MT I VTEC,2012,Honda,MANUAL,68941,Petrol,1st Owner,MH-03,Mumbai,302199,302199,Jun,5908
Ford Ecosport 1.5 TDCI TITANIUM PLUS,2017,Ford,MANUAL,89314,Diesel,1st Owner,UP-32-x-xxxx,Lucknow,666999,666999,Oct,13040
MG HECTOR SHARP DCT PETROL,2020,MG,AUTOMATIC,19456,Petrol,1st Owner,GJ-06,Ahmedabad,1652499,1586099,Jun,29785
Toyota URBAN CRUISER PREMIUM MT,2021,Toyota,MANUAL,4287,Petrol,2nd Owner,KA-05-x-xxxx,Bangalore,1107899,1089699,Nov,20463
Volkswagen Polo Trendline 1.0 L Petrol,2020,Volkswagen,MANUAL,46697,Petrol + CNG,1st Owner,MH-04,Mumbai,635699,598199,Jul,11695
Maruti Swift VXI,2012,Maruti,MANUAL,19042,Petrol,1st Owner,WB-20,Kolkata,346999,346999,Feb,6784
Toyota Glanza G CVT,2021,Toyota,AUTOMATIC,8259,Petrol,1st Owner,KA-02-x-xxxx,Bangalore,997699,997699,Mar,18736
Mahindra Thar LX  4WD AT CONVERTIBLE,2021,Mahindra,AUTOMATIC,18128,Petrol,1st Owner,HR-21,New Delhi,1687199,1631699,Oct,30642
Nissan Micra XV CVT,2016,Nissan,AUTOMATIC,51567,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,503699,503699,Nov,9847
Tata TIGOR XZ PLUS 1.2 REVOTRON,2021,Tata,MANUAL,16667,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,804399,737299,Aug,14414
Skoda KUSHAQ AMBITION 1.0 TSI AT,2022,Skoda,MANUAL,4340,Petrol,1st Owner,GJ-18,Ahmedabad,1541999,1426199,May,26783
Tata Tiago XZ 1.2 REVOTRON,2016,Tata,MANUAL,59341,Petrol,1st Owner,KA-05-x-xxxx,Bangalore,489599,477199,Oct,9329
Ford Ecosport 1.5AMBIENTE TI VCT,2014,Ford,MANUAL,85905,Petrol,1st Owner,MH-12,Pune,481899,476899,Mar,9323
Ford Figo Aspire 1.2 TITANIUM PETROL,2019,Ford,MANUAL,23290,Petrol,1st Owner,TN-14-x-xxxx,Chennai,710599,660599,May,12915
Ford Ecosport 1.5TITANIUM TDCI,2018,Ford,MANUAL,79406,Diesel,1st Owner,UP-78-x-xxxx,Lucknow,801299,775499,Jun,15161
Volkswagen Polo HIGH LINE PLUS 1.0,2021,Volkswagen,MANUAL,22535,Petrol,1st Owner,TN-01-x-xxxx,Chennai,888099,868399,Jun,16308
Hyundai i20 SPORTZ 1.2 VTVT,2011,Hyundai,MANUAL,30702,Petrol,2nd Owner,DL-3C,New Delhi,300699,300699,Dec,5879
Maruti New  Wagon-R LXI 1.0 L,2019,Maruti,MANUAL,3579,Petrol,1st Owner,DL-12,New Delhi,507099,507099,Nov,9914
Renault TRIBER RXE MT PETROL,2020,Renault,MANUAL,7008,Petrol,1st Owner,WB-06,Kolkata,537999,524899,Oct,10262
Hyundai i10 MAGNA 1.1 IRDE2,2016,Hyundai,MANUAL,57622,Petrol,1st Owner,DL-8C,New Delhi,339799,339799,Feb,6643
Tata Nano XT TWIST,2015,Tata,MANUAL,39537,Petrol,2nd Owner,MH-12,Pune,147399,147399,Oct,2882
Maruti Swift ZXI+ DUAL TONE,2021,Maruti,MANUAL,37089,Petrol,1st Owner,GJ-27,Ahmedabad,918799,859999,Apr,16150
Mahindra MARAZZO M8 7 STR,2019,Mahindra,MANUAL,49956,Diesel,1st Owner,MH-01,Pune,1291899,1153499,Feb,21662
KIA SELTOS HTX+ MT 1.5 DIESEL,2019,KIA,MANUAL,37157,Diesel,1st Owner,MH-12,Pune,1613999,1613999,Oct,30309
Honda Jazz ZX CVT,2021,Honda,AUTOMATIC,9838,Petrol,1st Owner,MH-14,Pune,1108799,1041499,Feb,19558
Honda Jazz 1.2 ZX MT,2021,Honda,MANUAL,5745,Petrol,1st Owner,WB-02,Kolkata,957999,931399,Feb,17491
Maruti Eeco 5 STR WITH AC PLUSHTR,2019,Maruti,MANUAL,12281,Petrol,1st Owner,TS-11-x-xxxx,Hyderabad,484199,466449,Feb,9119
SKODA SLAVIA STYLE 1.5 TSI DSG,2022,SKODA,MANUAL,4854,Petrol,1st Owner,TS-07-x-xxxx,Hyderabad,1999399,1824399,May,34260
Maruti Alto 800 LXI,2019,Maruti,MANUAL,7693,Petrol,1st Owner,GJ-01,Ahmedabad,352899,347899,Apr,6801
Tata ALTROZ XZ 1.2,2020,Tata,MANUAL,18544,Petrol,1st Owner,DL-2C,New Delhi,827999,827999,Nov,15549
Tata Harrier XZ 2.0L Kryotec,2019,Tata,MANUAL,57852,Diesel,1st Owner,WB-38,Kolkata,1430999,1303999,May,24488
Mahindra XUV500 W9 AT,2020,Mahindra,AUTOMATIC,19869,Diesel,1st Owner,MH-46,Mumbai,1854499,1669149,Mar,31345
Hyundai NEW I20 ASTA (O) 1.5 CRDI MT,2021,Hyundai,MANUAL,27163,Diesel,2nd Owner,MH-12,Mumbai,1120399,1079599,Feb,20274
Tata Tiago XZ+ 1.2 Revotron,2019,Tata,MANUAL,21945,Petrol,1st Owner,TS-15-x-xxxx,Hyderabad,635299,635299,Aug,12420
Mahindra Thar LX D AT 4WD HT,2022,Mahindra,AUTOMATIC,9297,Diesel,1st Owner,GJ-03,Ahmedabad,1790099,1790099,May,33616
Ford FREESTYLE TITANIUM Plus 1.5 TDCI MT,2021,Ford,MANUAL,26938,Diesel,1st Owner,TN-12-x-xxxx,Chennai,924299,924299,Mar,17357
Hyundai Elite i20 ASTA 1.2 (O),2017,Hyundai,MANUAL,35939,Petrol,2nd Owner,KL-56,Kochi,654399,606699,Jul,11861
Honda Amaze 1.5 SMT I DTEC,2018,Honda,MANUAL,91156,Diesel,1st Owner,TN-11-x-xxxx,Chennai,659299,659299,Aug,12889
Ford Ecosport 1.5 TDCI TITANIUM PLUS,2018,Ford,MANUAL,75349,Diesel,1st Owner,TS-07-x-xxxx,Hyderabad,959549,860699,Apr,16163
Hyundai Elite i20 1.2 MAGNA PLUS VTVT,2020,Hyundai,MANUAL,35085,Petrol,1st Owner,KL-72,Kochi,667099,667099,Jan,13042
Tata Harrier XZ 2.0L Kryotec,2020,Tata,MANUAL,33433,Diesel,1st Owner,UP-78-x-xxxx,Lucknow,1438599,1279199,Mar,24022
Honda Jazz 1.2 S MT,2017,Honda,MANUAL,19800,Petrol,1st Owner,DL-10,New Delhi,569899,564899,Dec,11044
Tata Nano XT TWIST,2015,Tata,MANUAL,50395,Petrol,1st Owner,WB-20,Kolkata,129199,109199,Oct,2135
Hyundai i10 SPORTZ 1.2 KAPPA2,2012,Hyundai,MANUAL,69426,Petrol,1st Owner,KL-58,Kochi,275499,225399,Oct,4407
Toyota YARIS VX CVT,2019,Toyota,AUTOMATIC,11159,Petrol,2nd Owner,MH-20,Mumbai,1158199,1086099,Apr,20396
Mahindra TUV300 T8,2016,Mahindra,MANUAL,43776,Diesel,1st Owner,KA-02-x-xxxx,Bangalore,770199,764899,Feb,14954
Maruti Swift VXI,2017,Maruti,MANUAL,73582,Petrol,1st Owner,RJ-07,Jaipur,491699,491699,Jan,9613
Maruti Swift Dzire VXI 1.2 BS IV,2014,Maruti,MANUAL,25911,Petrol,2nd Owner,WB-02,Kolkata,403399,340899,Sep,6665
Hyundai Creta 1.6 SX AT CRDI,2018,Hyundai,AUTOMATIC,56907,Diesel,1st Owner,WB-08,Kolkata,1130699,1115699,Sep,20952
Tata ALTROZ XZ+ 1.2 I- TURBO,2021,Tata,MANUAL,11440,Petrol,1st Owner,MH-12,Pune,988099,924499,Jun,17361
Renault Kwid RXT Opt,2016,Renault,MANUAL,57580,Petrol + CNG,2nd Owner,KA-04-x-xxxx,Bangalore,343299,343299,Oct,6712
Hyundai VENUE S MT 1.2 KAPPA,2022,Hyundai,MANUAL,3456,Petrol,1st Owner,GJ-06,Ahmedabad,971699,939299,Feb,17639
Maruti XL6 ZETA SHVS,2020,Maruti,MANUAL,22792,Petrol,1st Owner,RJ-05,Jaipur,1079799,976799,Oct,18343
Volkswagen Polo COMFORTLINE 1.5L DIESEL,2015,Volkswagen,MANUAL,93286,Diesel,1st Owner,RJ-14,Jaipur,341499,341499,Jan,6676
Maruti Ritz VXI,2011,Maruti,MANUAL,100162,Petrol,1st Owner,KA-04-x-xxxx,Bangalore,374599,374599,Jul,7323
Honda City V CVT,2019,Honda,AUTOMATIC,90113,Petrol + CNG,1st Owner,GJ-01,Ahmedabad,951299,887099,Jan,16659
Hyundai Elite i20 ASTA 1.2,2017,Hyundai,MANUAL,28473,Petrol,2nd Owner,MH-04,Mumbai,673799,616699,Apr,12057
Honda Brio 1.2 S MT I VTEC,2014,Honda,MANUAL,53798,Petrol,1st Owner,TN-02-x-xxxx,Chennai,410699,410699,Jun,8029
Toyota Etios Liva V  LIMITED,2016,Toyota,MANUAL,36420,Petrol,1st Owner,MH-43,Pune,502699,502699,Apr,9828
Honda WR-V 1.2 i-VTEC VX MT,2021,Honda,MANUAL,36507,Petrol,1st Owner,RJ-05,Jaipur,878699,878699,Jan,16501
Hyundai NEW I20 ASTA (O) 1.5 CRDI MT,2021,Hyundai,MANUAL,13192,Diesel,1st Owner,TS-08-x-xxxx,Hyderabad,1152399,1067299,Mar,20043
